backbone,classifier,shape_count,texture_count,other_count,shape_accuracy,texture_accuracy,other_prediction_rate,shape_bias,coverage,mean_maximum_confidence
resnet50,linear_head,114,29,57,0.5699999928474426,0.14499999582767487,0.2849999964237213,0.7972027972027972,0.715,0.712449848651886
vit_b_16,linear_head,155,9,36,0.7749999761581421,0.04500000178813934,0.18000000715255737,0.9451219512195121,0.82,0.8550689220428467
clip_vit_b_32,linear_head,157,10,33,0.7850000262260437,0.05000000074505806,0.16500000655651093,0.9401197604790419,0.835,0.18601803481578827
clip_vit_b_32,zero_shot,154,8,38,0.7699999809265137,0.03999999910593033,0.1899999976158142,0.9506172839506173,0.81,0.8169687390327454
