method,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1,target_accuracy,target_macro_f1,domain_separability_accuracy,target_accuracy_change_from_source_only
source_only,0.9580838323353293,0.9498675175295833,0.9292682926829269,0.9267049673762667,0.9573560767590619,0.9630719395418027,0.948236067259106,0.946548141482551,0.6701450750827183,0.6759621280487879,0.9958791208791209,0.0
dan,0.9610778443113772,0.9565427060215298,0.9048780487804878,0.9021304592351552,0.8955223880597015,0.9017195490148335,0.9204927603838554,0.920130904757173,0.6138966658182744,0.5476598590620433,0.9065934065934066,-0.056248409264443855
dann,0.9670658682634731,0.9601331803435565,0.8829268292682927,0.8838875853501306,0.9424307036247335,0.9475994291150535,0.9308078003854998,0.9305400649362469,0.6543649783659964,0.6574983026479123,0.9986263736263736,-0.01578009671672187
cdan,0.9700598802395209,0.9662258800890592,0.8829268292682927,0.8857405535332489,0.9253731343283582,0.9325797203759386,0.9261199479453905,0.9281820513327489,0.36497836599643674,0.39436334741860063,1.0,-0.3051667090862815
dan_lambda_0_1,0.9790419161676647,0.9754959551628778,0.9024390243902439,0.9022131835240855,0.9466950959488273,0.9512869935461623,0.9427253455022453,0.9429987107443752,0.7151947060320692,0.6812940221361421,0.9766483516483516,0.045049630949350994
dan_lambda_10,0.9401197604790419,0.9284912810133397,0.802439024390244,0.806662704650777,0.8656716417910447,0.8693281174384789,0.8694101422201101,0.8681607010341986,0.7490455586663273,0.731427499907727,0.8695054945054945,0.07890048358360902
