alignment_loss,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,classification_loss,epoch,mean_source_validation_macro_f1,photo_accuracy,photo_macro_f1,total_loss
0.20782786251133323,0.5463414634146342,0.5142947289726474,0.5756929637526652,0.5454402445916813,1.2340197010427458,1,0.6012704070831253,0.7994011976047904,0.7440762476850472,3.3122983131653223
0.16353684205275315,0.7780487804878049,0.7689760411490598,0.7910447761194029,0.7962945222462078,0.7855475918732138,2,0.8087821813590614,0.8832335329341318,0.8610759806819166,2.4209160132285876
0.16593904678638166,0.7317073170731707,0.7092491514490928,0.7867803837953091,0.7746321297279549,0.6668627854977918,3,0.7684943425178034,0.8502994011976048,0.8216017463763621,2.3262532501139193
0.1741985342441461,0.7170731707317073,0.7176234575774716,0.7974413646055437,0.8065190660782895,0.6030707859203347,4,0.7806878068995613,0.8413173652694611,0.8179208970429228,2.34505612982644
0.1567189041365925,0.7878048780487805,0.7866864523355901,0.8315565031982942,0.8297555404670865,0.546853515948368,5,0.8313800783117488,0.8952095808383234,0.8776982421325695,2.1140425556745286
0.15194589765662822,0.7707317073170732,0.7496532776809958,0.8208955223880597,0.8315163972943964,0.46358607849504196,6,0.813549210337572,0.8832335329341318,0.8594779560373237,1.9830450560802069
0.15553089594229674,0.802439024390244,0.806662704650777,0.8656716417910447,0.8693281174384789,0.41236845908575076,7,0.8681607010341986,0.9401197604790419,0.9284912810133397,1.9676774154361496
0.14304616308619833,0.8219512195121951,0.8244989450795652,0.8422174840085288,0.8575208670979163,0.37456911665379494,8,0.8660495733930578,0.9281437125748503,0.9161289080016919,1.805030748884902
0.14704756553356463,0.6682926829268293,0.6743635843696374,0.8571428571428571,0.8555498398627267,0.3664839581037179,9,0.7887829326460455,0.8652694610778443,0.8364353737057723,1.8369596117836797
0.15592122077941895,0.7853658536585366,0.7865561399905122,0.7995735607675906,0.8045205630837711,0.46474100993229794,10,0.811306934728953,0.8622754491017964,0.8428441011125758,2.023953216198163
0.15452289988851955,0.8170731707317073,0.8053490843874823,0.8848614072494669,0.8890887767120889,0.4210179480226535,11,0.8601462823899749,0.9011976047904192,0.8860009860703535,1.9662469475187807
0.14430443700562176,0.7634146341463415,0.7593505540154716,0.8315565031982942,0.8420752208624577,0.4793291974844586,12,0.81298554289282,0.8532934131736527,0.8375308538005307,1.9223735681456378
