alignment_loss,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,classification_loss,epoch,mean_source_validation_macro_f1,photo_accuracy,photo_macro_f1,total_loss,worst_source_validation_macro_f1
0.5270329590281869,0.7975609756097561,0.7801073983654044,0.8656716417910447,0.8612853107919781,0.5502114532372127,1,0.8438513313542758,0.9131736526946108,0.8901612849054448,1.0772444133320425,0.7801073983654044
0.4942018962823428,0.8512195121951219,0.8568567052175355,0.9040511727078892,0.9105926349974338,0.23135912692190236,2,0.8876647014411079,0.9131736526946108,0.8955447641083543,0.7255610223764029,0.8568567052175355
0.47114023044068587,0.8609756097560975,0.8609907763534633,0.9168443496801706,0.9260536687283604,0.16387553523298606,3,0.9173659363854324,0.9700598802395209,0.9650533640744735,0.6350157639155021,0.8609907763534633
0.4641224894768152,0.8926829268292683,0.8941768585672355,0.9168443496801706,0.9231350279178993,0.14026788807808396,4,0.9210740806297529,0.9550898203592815,0.945910355404124,0.6043903802195166,0.8941768585672355
0.4424205462519939,0.7878048780487805,0.7635065097433135,0.9211087420042644,0.9206553952482207,0.12314519057417006,5,0.8748362095668892,0.9491017964071856,0.9403467237091333,0.56556573879515,0.7635065097433135
0.45555435706917036,0.8902439024390244,0.8890632939750996,0.9232409381663113,0.9261823559954506,0.11901489422411825,6,0.9092805909822056,0.9191616766467066,0.9125961229760665,0.5745692532031964,0.8890632939750996
0.4505724619086991,0.875609756097561,0.8779703240411028,0.9360341151385928,0.9425790929983028,0.09541892179332248,7,0.9259362019499097,0.9640718562874252,0.9572591888103236,0.5459913830471854,0.8779703240411028
0.46068085500827205,0.8292682926829268,0.8086048786772307,0.9189765458422174,0.9117031564004421,0.07742544668405735,8,0.8719307416692362,0.9161676646706587,0.8954841899300359,0.5381063011466948,0.8086048786772307
0.4577883755804127,0.875609756097561,0.876762569753275,0.9317697228144989,0.9333128604984083,0.0963984368270478,9,0.9153077463654208,0.9401197604790419,0.9358478088445786,0.5541868123233827,0.876762569753275
0.44454003520246244,0.9024390243902439,0.9031995193418777,0.9424307036247335,0.9435110470862959,0.0845689579342496,10,0.9273202354590583,0.9461077844311377,0.9352501399490013,0.5291089936454072,0.9031995193418777
0.4362613906462987,0.875609756097561,0.8798003388346254,0.8805970149253731,0.8922594216913904,0.08253333524156076,11,0.895626101606581,0.9221556886227545,0.914818544293727,0.5187947256570189,0.8798003388346254
0.4563452094538599,0.8731707317073171,0.8675590339920866,0.9445628997867804,0.9494093066945515,0.06041279276007086,12,0.9245127667606073,0.9610778443113772,0.9565699595951841,0.5167580012582306,0.8675590339920866
0.4428626014254032,0.8804878048780488,0.8733824600679955,0.9339019189765458,0.9393058624547101,0.047092036008379155,13,0.9229229708356951,0.9640718562874252,0.9560805899843795,0.48995463581930876,0.8733824600679955
0.42505592833726835,0.8682926829268293,0.8647117440889218,0.9232409381663113,0.9295885510336092,0.07377004702571774,14,0.9083253368041393,0.9401197604790419,0.930675715289887,0.4988259758450027,0.8647117440889218
0.4548153900819966,0.848780487804878,0.8465439797320073,0.9402985074626866,0.9456964999562297,0.07919721523288371,15,0.9138343957749071,0.9550898203592815,0.9492627076364843,0.5340126052371457,0.8465439797320073
