alignment_loss,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,classification_loss,epoch,mean_source_validation_macro_f1,photo_accuracy,photo_macro_f1,total_loss,worst_source_validation_macro_f1
0.5994899694481467,0.8658536585365854,0.859112077750327,0.8976545842217484,0.9058762510618735,0.470857482865198,1,0.8971961637564186,0.9401197604790419,0.9266001624570553,0.5308064801188616,0.859112077750327
0.5338750673919661,0.9048780487804878,0.9042629604195875,0.9232409381663113,0.9255935516704704,0.1952154819543163,2,0.923939488311043,0.9491017964071856,0.9419619528430713,0.248602989089922,0.9042629604195875
0.5069557746760865,0.8707317073170732,0.8669995075134637,0.9317697228144989,0.9368608508972472,0.13518789899833977,3,0.9151008628404459,0.9520958083832335,0.9414422301106268,0.18588347740980804,0.8669995075134637
0.5034617456870202,0.9073170731707317,0.9083823553622642,0.9381663113006397,0.9451482187100544,0.1278280606234653,4,0.9348986480489504,0.9580838323353293,0.9511653700745327,0.17817423553166226,0.9083823553622642
0.4778045366207759,0.8926829268292683,0.888621136002339,0.9466950959488273,0.9489845960769357,0.10702160632316894,5,0.9323848603111425,0.9640718562874252,0.9595488488541527,0.15480206061441165,0.888621136002339
0.4938406515070516,0.8658536585365854,0.8570551161482811,0.9104477611940298,0.9115799115638199,0.0938180417387595,6,0.89002216453699,0.9191616766467066,0.9014314658988688,0.14320210736786199,0.8570551161482811
0.4797627658416063,0.875609756097561,0.8792031114927735,0.9488272921108742,0.9522966537438534,0.0849938548581899,7,0.9316161482188772,0.9700598802395209,0.9633486794200047,0.13297013201328933,0.8792031114927735
0.48881317808842045,0.9121951219512195,0.9106553667965352,0.9402985074626866,0.9468819609797053,0.06815546873755929,8,0.9371331908011284,0.9610778443113772,0.9538622446271449,0.11703678757811968,0.9106553667965352
0.4780017126701836,0.9097560975609756,0.9088591483620824,0.9339019189765458,0.9378331408627394,0.053448095565968246,9,0.9381270765654287,0.9730538922155688,0.967688940471464,0.10124826758431318,0.9088591483620824
0.4801227246594225,0.8975609756097561,0.8944923475598825,0.9232409381663113,0.9222233374255829,0.037944583398945186,10,0.9172289267436945,0.9431137724550899,0.9349710952456183,0.0859568566402309,0.8944923475598825
0.474338054147541,0.8341463414634146,0.8391031205657701,0.8869936034115139,0.9015616879992084,0.04757046476453637,11,0.8814833419893913,0.9191616766467066,0.9037852174031953,0.09500427120643803,0.8391031205657701
0.4807942776471122,0.9195121951219513,0.921289944926354,0.9530916844349681,0.9592186750502751,0.06542537242698267,12,0.9465566166912884,0.9610778443113772,0.9591612300972364,0.11350480081020002,0.921289944926354
0.48201690576015377,0.9048780487804878,0.9011430449801863,0.9275053304904051,0.9326340903491931,0.06139937864148893,13,0.9279637152704593,0.9580838323353293,0.9501140104819983,0.10960107015716469,0.9011430449801863
0.46016702921981484,0.8560975609756097,0.8560011299049378,0.9509594882729211,0.9546228736194226,0.03935397063658954,14,0.9156910329916764,0.9461077844311377,0.9364490954506691,0.08537067425174591,0.8560011299049378
0.47500301610964996,0.8682926829268293,0.8546317232575528,0.9381663113006397,0.9406525103457842,0.030771742780187072,15,0.9173162364235338,0.9610778443113772,0.9566644756672644,0.07827204496910174,0.8546317232575528
0.4672758160238592,0.8829268292682927,0.8854184627121572,0.9594882729211087,0.96363378555796,0.03501085116474711,16,0.9358143572348346,0.9640718562874252,0.9583908234343863,0.0817384335777571,0.8854184627121572
0.4619252775978838,0.9073170731707317,0.9073631661039935,0.9530916844349681,0.9558166750708261,0.052931739593139696,17,0.9459616653905751,0.9790419161676647,0.9747051549969055,0.09912426807941535,0.9073631661039935
