alignment_loss,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,classification_loss,epoch,mean_source_validation_macro_f1,photo_accuracy,photo_macro_f1,total_loss
0.33386357115884113,0.8414634146341463,0.8332116578496455,0.906183368869936,0.9118977540670091,0.5173751895244305,1,0.898068830163052,0.9580838323353293,0.9490970785725013,0.55076154639833
0.2624884084758595,0.8463414634146341,0.8540482409133768,0.8166311300639659,0.8450712487196421,0.21991381114428368,2,0.8778355977858281,0.9431137724550899,0.9343873037244654,0.24616265289772016
0.246817126742795,0.8975609756097561,0.8939133594221967,0.9317697228144989,0.9368172911044269,0.15554386642005327,3,0.9363545244795582,0.9820359281437125,0.9783329229120511,0.18022557927502525
0.2313818396666111,0.9,0.8961448132052701,0.9360341151385928,0.9383377691513216,0.10504373335717325,4,0.9375034555982958,0.9820359281437125,0.9780277844382957,0.1281819176963634
0.2206206958518069,0.8414634146341463,0.840600798795422,0.9402985074626866,0.9478435741534531,0.09684807788961244,5,0.9098199800952506,0.9461077844311377,0.9410155673368769,0.11891014756969152
0.21827123103997645,0.8804878048780488,0.8799716040198474,0.9339019189765458,0.9399081958866382,0.07479453458004601,6,0.9202059295657353,0.9461077844311377,0.9407379887907208,0.09662165804009916
0.21139985068231568,0.9121951219512195,0.9120485043736009,0.9019189765458422,0.9013609445841526,0.08169986971381119,7,0.9243860425064168,0.9640718562874252,0.9597486785614968,0.10283985530209337
0.20523102263100126,0.9024390243902439,0.9022131835240855,0.9466950959488273,0.9512869935461623,0.0642056090053022,8,0.9429987107443752,0.9790419161676647,0.9754959551628778,0.08472871104191639
0.19680257638295492,0.9146341463414634,0.9150740456177056,0.9466950959488273,0.9503311366454287,0.04543091760213926,9,0.9383067125677532,0.9550898203592815,0.9495149554401257,0.06511117527102175
0.2002590059215187,0.8878048780487805,0.8858180951229915,0.8933901918976546,0.900496484304947,0.08019770419544243,10,0.9154723757684448,0.9670658682634731,0.9601025478773957,0.10022360533794276
0.20014664861891004,0.8902439024390244,0.8876324119819825,0.9381663113006397,0.9437296022819766,0.04288668447644053,11,0.9252679974915584,0.9520958083832335,0.9444419782107161,0.06290134963077995
0.19313014164949074,0.848780487804878,0.8340136887594515,0.9275053304904051,0.9203081691947327,0.045401727728687516,12,0.8979241052297721,0.9461077844311377,0.9394504577351318,0.0647147423030538
0.19385804376031598,0.8853658536585366,0.8919734459758474,0.9466950959488273,0.9514251609787695,0.04365733339988928,13,0.9331396575346017,0.9610778443113772,0.9560203656491886,0.06304313813965036
