art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,classification_loss,epoch,mean_source_validation_macro_f1,photo_accuracy,photo_macro_f1
0.8317073170731707,0.8260199310395657,0.8933901918976546,0.9013083717321935,0.5118994917879757,1,0.8893842442857576,0.9520958083832335,0.9408244300855139
0.875609756097561,0.8719883657681472,0.9019189765458422,0.9022319338468406,0.21810300290807444,2,0.9045826302210781,0.9461077844311377,0.9395275910482466
0.9,0.898797563598294,0.9253731343283582,0.9210543143759204,0.1562616859222404,3,0.9256701430466686,0.9640718562874252,0.9571585511657917
0.8731707317073171,0.8755732371412197,0.9488272921108742,0.9542322510978946,0.11672381961590841,4,0.9360489614340097,0.9820359281437125,0.978341396062915
0.9170731707317074,0.9181468611615647,0.9530916844349681,0.95573388350513,0.10378592637357348,5,0.9463061829311026,0.9700598802395209,0.9650378041266129
0.8780487804878049,0.8798790391700922,0.9445628997867804,0.9514113493374428,0.09037108904382106,6,0.9268998480044583,0.9550898203592815,0.94940915550584
0.9292682926829269,0.9267049673762667,0.9573560767590619,0.9630719395418027,0.05429413259321919,7,0.946548141482551,0.9580838323353293,0.9498675175295833
0.9243902439024391,0.9251702814131059,0.9339019189765458,0.93936299867986,0.061886853405993834,8,0.9373681615626454,0.9520958083832335,0.9475712045949704
0.8609756097560975,0.865985579795472,0.9424307036247335,0.9476399397269979,0.07096579978831434,9,0.9210373276484892,0.9580838323353293,0.9494864634229975
0.8804878048780488,0.875775399174414,0.9424307036247335,0.948184204498224,0.05983956821004011,10,0.9229164741247259,0.9520958083832335,0.9447898187015394
0.8682926829268293,0.8592254694548477,0.9125799573560768,0.9208654193617898,0.04240555658138602,11,0.9064193597255712,0.9461077844311377,0.9391671903600762
0.8634146341463415,0.8580270847885245,0.9317697228144989,0.9310925967385827,0.04133677993744112,12,0.9099381420298854,0.9520958083832335,0.9406947445625489
