art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,classification_loss,epoch,mean_source_validation_macro_f1,perturbed_classification_loss,photo_accuracy,photo_macro_f1,worst_source_validation_macro_f1
0.8560975609756097,0.8576984430182819,0.8997867803837953,0.907944758094412,0.7617395428510813,1,0.9010235140015243,1.0661388801203833,0.9431137724550899,0.9374273408918787,0.8576984430182819
0.9,0.9038187615059746,0.9381663113006397,0.9437090835060482,0.23435598700983912,2,0.9395795417365593,0.48833952799566793,0.9760479041916168,0.9712107801976552,0.9038187615059746
0.875609756097561,0.8804925219780292,0.9424307036247335,0.9481185830242433,0.14696187125001517,3,0.9345235016045376,0.35240074692883044,0.9790419161676647,0.9749593998113405,0.8804925219780292
0.9024390243902439,0.9006117409987819,0.9594882729211087,0.9630464076297863,0.10707598596285933,4,0.9440958852557974,0.28795034053106594,0.9730538922155688,0.9686295071388239,0.9006117409987819
0.9219512195121952,0.9228066017231973,0.9509594882729211,0.9578482367026284,0.07342877041878831,5,0.9518708623755253,0.23025823540539822,0.9790419161676647,0.9749577487007505,0.9228066017231973
0.926829268292683,0.9270974074044315,0.9509594882729211,0.9545244329875271,0.05572933755600108,6,0.9484118026710672,0.19844931563059998,0.9700598802395209,0.963613567621243,0.9270974074044315
0.9146341463414634,0.9161123344390071,0.9680170575692963,0.9723957913728002,0.04457131161953474,7,0.9521545950086798,0.18493933175714353,0.9730538922155688,0.9679556592142322,0.9161123344390071
0.9073170731707317,0.9004009595571255,0.9509594882729211,0.9561057146257429,0.03561140485326799,8,0.9410660174974838,0.1506662888563851,0.9730538922155688,0.9666913783095831,0.9004009595571255
0.9097560975609756,0.9020962936152371,0.9466950959488273,0.949463008237765,0.02880139952688677,9,0.9405281852672166,0.1466447990706079,0.9730538922155688,0.9700252539486475,0.9020962936152371
0.9341463414634147,0.9307628080801742,0.9424307036247335,0.946677544729997,0.025089714791064557,10,0.9511774323078835,0.13707500285644117,0.9790419161676647,0.9760919441134795,0.9307628080801742
0.9195121951219513,0.9200524554774268,0.9360341151385928,0.9388867594025936,0.019101495852317803,11,0.9396317288622251,0.1186526289416684,0.9640718562874252,0.9599559717066554,0.9200524554774268
0.9146341463414634,0.9125734123835646,0.9402985074626866,0.943921964973324,0.014917724471067628,12,0.9424662188405953,0.10655635796511212,0.9760479041916168,0.9709032791648972,0.9125734123835646
