method,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1,sketch_accuracy,sketch_macro_f1,source_domain_separability,sharpness_proxy,sketch_accuracy_change_from_erm
erm,0.9580838323353293,0.9498675175295833,0.9292682926829269,0.9267049673762667,0.9573560767590619,0.9630719395418027,0.948236067259106,0.946548141482551,0.9292682926829269,0.9267049673762667,0.6701450750827183,0.6759621280487879,0.8471760797342193,0.2261166125535965,0.0
dan_dg,0.9610778443113772,0.9532600589490693,0.9097560975609756,0.9118967627201828,0.9424307036247335,0.947131524456049,0.9377548818323621,0.9374294487084337,0.9097560975609756,0.9118967627201828,0.6866887248663782,0.7235708541534546,0.7342192691029901,0.31784504652023315,0.016543649783659964
sam,0.9850299401197605,0.9817015894229392,0.9243902439024391,0.9233474522652871,0.9573560767590619,0.9624582471153217,0.9555920869270871,0.955835762934516,0.9243902439024391,0.9233474522652871,0.7034868923390175,0.7030119285627265,0.8737541528239202,0.09032733738422394,0.033341817256299255
dan_dg_lambda_0_1,0.9640718562874252,0.9580652926051708,0.9219512195121952,0.9221904736453969,0.9466950959488273,0.9525679369213378,0.9442393905828159,0.9442745677239684,0.9219512195121952,0.9221904736453969,0.6291677271570374,0.6805309042028137,0.8039867109634552,0.2822943329811096,-0.04097734792568086
dan_dg_lambda_10,0.39820359281437123,0.263797739903408,0.25853658536585367,0.17701706005399576,0.24733475479744135,0.18035680145785887,0.30135831099255544,0.20705720047175422,0.24733475479744135,0.17701706005399576,0.21990328327818784,0.18777982677509536,0.4983388704318937,2.998943328857422,-0.4502417918045304
